district,latitude,longitude,year,month,crime_category,crime_count,severity_weight,risk_weight,source,source_url
Mysuru,12.3,76.64,2021,0,Cyber Harassment,8,55,60,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2021,0,Dowry Death,5,70,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2021,0,Dowry Harassment,94,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2021,0,Human Trafficking,2,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2021,0,POCSO Rape,106,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2021,0,POCSO Sexual Assault,39,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2021,0,Rape,21,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2021,0,Sexual Harassment,8,75,80,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,Assault on Women,228,60,65,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,Cruelty by Husband,88,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,Cyber Harassment,3,55,60,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,Dowry Death,8,70,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,Dowry Harassment,63,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,Kidnapping of Women,19,90,95,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,POCSO Rape,45,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,POCSO Sexual Assault,7,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2021,0,Rape,28,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,Assault on Women,166,60,65,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,Attempt to Rape,1,90,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,Cruelty by Husband,56,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,Cyber Harassment,5,55,60,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,Dowry Death,1,70,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,Dowry Harassment,52,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,POCSO Rape,75,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,POCSO Sexual Assault,16,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Ramanagara,12.72,77.28,2021,0,Rape,9,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,Assault on Women,294,60,65,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,Cruelty by Husband,67,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,Cyber Harassment,6,55,60,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,Dowry Death,3,70,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,Dowry Harassment,86,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,Kidnapping of Women,64,90,95,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,POCSO Rape,110,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,POCSO Sexual Assault,31,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,Rape,19,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Shivamogga,13.93,75.57,2021,0,Sexual Harassment,2,75,80,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,Assault on Women,157,60,65,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,Cruelty by Husband,50,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,Cyber Harassment,2,55,60,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,Dowry Death,7,70,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,Dowry Harassment,96,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,Gang Rape,1,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,POCSO Rape,67,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,POCSO Sexual Assault,40,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,Rape,16,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Tumakuru,13.34,77.1,2021,0,Sexual Harassment,2,75,80,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Udupi,13.34,74.75,2021,0,Assault on Women,61,60,65,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Udupi,13.34,74.75,2021,0,Cruelty by Husband,28,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Udupi,13.34,74.75,2021,0,Cyber Harassment,8,55,60,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Udupi,13.34,74.75,2021,0,Dowry Harassment,15,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Udupi,13.34,74.75,2021,0,Kidnapping of Women,5,90,95,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Udupi,13.34,74.75,2021,0,POCSO Rape,39,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Udupi,13.34,74.75,2021,0,POCSO Sexual Assault,18,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Udupi,13.34,74.75,2021,0,Rape,6,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,Assault on Women,130,60,65,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,Cruelty by Husband,19,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,Cyber Harassment,9,55,60,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,Dowry Death,1,70,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,Dowry Harassment,17,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,POCSO Rape,42,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,POCSO Sexual Assault,8,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,Rape,4,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Uttara Kannada,14.6,74.7,2021,0,Sexual Harassment,12,75,80,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Assault on Women,141,60,65,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Attempt to Rape,1,90,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Cruelty by Husband,93,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Dowry Death,5,70,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Dowry Harassment,7,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Gang Rape,1,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Kidnapping of Women,4,90,95,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,POCSO Rape,30,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,POCSO Sexual Assault,20,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Rape,15,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Vijayapura,16.83,75.71,2021,0,Sexual Harassment,1,75,80,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,Assault on Women,143,60,65,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,Cruelty by Husband,41,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,Cyber Harassment,1,55,60,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,Dowry Death,4,70,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,Dowry Harassment,13,65,70,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,Kidnapping of Women,7,90,95,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,POCSO Rape,40,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,POCSO Sexual Assault,7,95,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Yadgir,16.77,77.14,2021,0,Rape,19,100,100,NCRB Crime in India 2022 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Assault on Women,159,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Cruelty by Husband,34,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Cyber Harassment,3,55,60,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Dowry Death,2,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Dowry Harassment,29,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Human Trafficking,1,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Kidnapping of Women,27,90,95,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Molestation,159,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bagalkote,16.18,75.696,2022,0,POCSO Rape,34,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,POCSO Sexual Assault,7,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Rape,12,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bagalkote,16.18,75.696,2022,0,Sexual Assault,96,90,100,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bagalkote,16.18,75.696,2022,0,Sexual Harassment,3,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bagalkote,16.18,75.696,2022,0,Stalking,1,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Ballari,15.15,76.915,2022,0,Assault on Women,81,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,Cruelty by Husband,65,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,Cyber Harassment,2,55,60,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,Dowry Death,1,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,Dowry Harassment,45,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,Kidnapping of Women,28,90,95,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,Molestation,81,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Ballari,15.15,76.915,2022,0,POCSO Rape,26,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,POCSO Sexual Assault,15,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,Rape,9,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Ballari,15.15,76.915,2022,0,Sexual Assault,41,90,100,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Ballari,15.15,76.915,2022,0,Sexual Harassment,17,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Ballari,15.15,76.915,2022,0,Stalking,4,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Belagavi,15.87,74.5,2022,0,Assault on Women,358,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Cruelty by Husband,228,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Cyber Harassment,25,55,60,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Dowry Death,6,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Dowry Harassment,36,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Human Trafficking,1,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Kidnapping of Women,99,90,95,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Molestation,276,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Belagavi,15.87,74.5,2022,0,POCSO Rape,144,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,POCSO Sexual Assault,40,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Rape,33,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Belagavi,15.87,74.5,2022,0,Sexual Assault,138,90,100,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Belagavi,15.87,74.5,2022,0,Sexual Harassment,7,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Belagavi,15.87,74.5,2022,0,Stalking,7,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Acid Attack,7,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Assault on Women,916,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Cruelty by Husband,736,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Cyber Harassment,89,55,60,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Dowry Death,43,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Dowry Harassment,998,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Human Trafficking,8,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Kidnapping of Women,796,90,95,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Molestation,757,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,POCSO Rape,426,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,POCSO Sexual Assault,142,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Rape,172,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Sexual Assault,63,90,100,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Sexual Harassment,120,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Stalking,70,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bengaluru Urban,12.9716,77.5946,2022,0,Voyeurism,16,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bidar,17.91,77.53,2022,0,Assault on Women,54,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Attempt to Rape,1,90,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Cruelty by Husband,110,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Cyber Harassment,2,55,60,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Dowry Death,4,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Dowry Harassment,26,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Human Trafficking,1,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Kidnapping of Women,2,90,95,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Molestation,54,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Bidar,17.91,77.53,2022,0,POCSO Rape,40,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,POCSO Sexual Assault,11,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Rape,11,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Bidar,17.91,77.53,2022,0,Sexual Harassment,2,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Assault on Women,155,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Cruelty by Husband,19,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Dowry Death,1,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Dowry Harassment,29,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Molestation,155,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chamarajanagara,11.93,76.94,2022,0,POCSO Rape,29,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2022,0,POCSO Sexual Assault,19,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Rape,9,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Sexual Assault,89,90,100,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Sexual Harassment,6,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chamarajanagara,11.93,76.94,2022,0,Stalking,3,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Assault on Women,146,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Cruelty by Husband,51,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Dowry Death,11,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Dowry Harassment,36,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Human Trafficking,1,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Kidnapping of Women,2,90,95,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Molestation,146,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkaballapura,13.43,77.73,2022,0,POCSO Rape,117,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,POCSO Sexual Assault,22,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Rape,9,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Sexual Assault,40,90,100,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Sexual Harassment,11,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Stalking,2,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkaballapura,13.43,77.73,2022,0,Voyeurism,1,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Assault on Women,223,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Cruelty by Husband,43,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Dowry Death,4,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Dowry Harassment,40,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Gang Rape,1,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Molestation,223,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,POCSO Rape,74,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,POCSO Sexual Assault,47,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Rape,6,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Sexual Assault,48,90,100,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Sexual Harassment,43,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chikkamagaluru,13.32,75.77,2022,0,Stalking,9,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chitradurga,14.23,76.4,2022,0,Assault on Women,383,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Cruelty by Husband,72,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Cyber Harassment,1,55,60,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Dowry Death,7,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Dowry Harassment,47,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Human Trafficking,1,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Kidnapping of Women,1,90,95,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Molestation,383,80,85,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chitradurga,14.23,76.4,2022,0,POCSO Rape,53,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,POCSO Sexual Assault,43,95,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Rape,12,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Chitradurga,14.23,76.4,2022,0,Sexual Assault,150,90,100,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chitradurga,14.23,76.4,2022,0,Sexual Harassment,9,75,80,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chitradurga,14.23,76.4,2022,0,Stalking,2,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Chitradurga,14.23,76.4,2022,0,Voyeurism,1,70,75,Karnataka Police Crime Review 2022,https://ksp.karnataka.gov.in/
Dakshina Kannada,12.87,74.88,2022,0,Assault on Women,140,60,65,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2022,0,Cruelty by Husband,63,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2022,0,Cyber Harassment,14,55,60,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2022,0,Dowry Death,3,70,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2022,0,Dowry Harassment,21,65,70,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2022,0,Human Trafficking,3,100,100,NCRB Crime in India 2023 Volume I,https://ncrb.gov.in/
